conteudo,sentimento,tema,universidade,perfil
Tornar facultativo é enfraquecer a democracia. Jovem sem voto é jovem sem representação.,negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,INSPER,liberal-meritocrático
Cidadão de bem desarmado é vítima fácil. Sou a favor do porte responsável.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,UFRJ,progressista-carioca
Cada campus tem realidade diferente. Uma política nacional de saúde mental universitária precisa de flexibilidade.,neutro,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
"Transição sim, mas com plano de proteção pra quem vai perder emprego nas indústrias tradicionais.",neutro,Transição Energética e Custo para a População,UNICAMP,técnico-crítico
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,UFMG,progressista-regional
É uma pauta que divide genuinamente por valores. Não consigo reduzir a certo ou errado.,neutro,Descriminalização vs. Legalização do Aborto,UNB,político-crítico
"no final do dia, há exceções que já são legais. Legalização ampla é diferente e eu discordo.",negativo,Descriminalização vs. Legalização do Aborto,FGV,liberal-econômico
Tornar facultativo é enfraquecer a democracia. Jovem sem voto é jovem sem representação.,negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,INSPER,liberal-meritocrático
Preciso ver a proposta completa antes de opinar. Detalhes de alíquota e base de cálculo mudam tudo.,neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,UNB,político-crítico
"IGF faz sentido em tese, mas a implementação no Brasil seria complexa demais sem reforma do judiciário junto.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,UFBA,progressista-nordestino
Ação pontual não resolve. O modelo de avaliação e a carga horária precisam mudar primeiro.,negativo,Saúde Mental no Ambiente Universitário,UFRJ,progressista-carioca
FIES tem problema de inadimplência estrutural. Precisa de reforma antes de expansão.,neutro,Expansão ou Corte do FIES e ProUni,FGV,liberal-econômico
"O custo da transição precisa ser distribuído de forma progressiva. Não é simples, mas é necessário.",neutro,Transição Energética e Custo para a População,UFRJ,progressista-carioca
"literalmente, banir IA é ingenuidade. Precisamos ensinar a usar com ética e transparência.",positivo,Regulamentação do Uso de IA em Provas e TCCs,FGV,liberal-econômico
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
"Contra corte indiscriminado, mas a favor de auditoria e transparência no uso do orçamento universitário.",neutro,Cortes no Orçamento das Universidades Federais,USP,progressista-técnico
"FIES virou rombo fiscal sem retorno claro. Precisamos de critério mais rigoroso, não de expansão.",negativo,Expansão ou Corte do FIES e ProUni,USP,progressista-técnico
"Proibir é impossível, mas liberar sem critério é colapsar a avaliação acadêmica.",negativo,Regulamentação do Uso de IA em Provas e TCCs,MACKENZIE,conservador-técnico
"Uso como ferramenta auxiliar tudo bem, mas precisamos definir o que é plágio nesse novo contexto.",neutro,Regulamentação do Uso de IA em Provas e TCCs,UNICAMP,técnico-crítico
"Apoio a iniciativa, mas quero ver dados de impacto antes de dizer que está funcionando.",neutro,Saúde Mental no Ambiente Universitário,MACKENZIE,conservador-técnico
"IGF afasta investimento e capital. Na prática gera menos arrecadação, não mais.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,UNB,político-crítico
Cada campus tem realidade diferente. Uma política nacional de saúde mental universitária precisa de flexibilidade.,neutro,Saúde Mental no Ambiente Universitário,UFMG,progressista-regional
"bão demais, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
Cada campus tem realidade diferente. Uma política nacional de saúde mental universitária precisa de flexibilidade.,neutro,Saúde Mental no Ambiente Universitário,UFRJ,progressista-carioca
"Olha os dados do interior: onde o cidadão é armado, criminalidade específica cai.",negativo,Desarmamento vs. Flexibilização do Porte de Armas,UNICAMP,técnico-crítico
Difícil tomar partido sem ver o orçamento detalhado. Onde exatamente está sendo cortado?,neutro,Cortes no Orçamento das Universidades Federais,INSPER,liberal-meritocrático
Apoio o voto facultativo. Obrigar sem educação política é esvaziar o sentido da democracia.,positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UNB,político-crítico
"cê tá brincando, universidade federal não pode depender de repasse que muda a cada governo. Precisamos de autonomia orçamentária garantida em lei.",positivo,Cortes no Orçamento das Universidades Federais,UNICAMP,técnico-crítico
Preciso ver a proposta completa antes de opinar. Detalhes de alíquota e base de cálculo mudam tudo.,neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,FGV,liberal-econômico
Apoio políticas de energia limpa mesmo com custo de curto prazo. O custo do inação é maior.,positivo,Transição Energética e Custo para a População,INSPER,liberal-meritocrático
"IVA dual simplifica, mas sem progressividade real continuamos com sistema injusto.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,UFRJ,progressista-carioca
"nossa, o Brasil tem uma das tributações mais regressivas do mundo. Quem ganha menos paga mais. Isso precisa mudar.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,PUC_SP,progressista-católico
"Apoio a meta, mas o prazo e o modelo de financiamento precisam de debate técnico sério.",neutro,Transição Energética e Custo para a População,INSPER,liberal-meritocrático
"Se a pessoa tem 16 e quer votar, ótimo. Se não quer, forçar não faz sentido.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,FGV,liberal-econômico
"massa, energia renovável ainda é cara e intermitente. Não dá pra desligar termelétrica do dia pra noite.",negativo,Transição Energética e Custo para a População,UFBA,progressista-nordestino
Sou servidor e sei que tem muito desperdício interno. Corte cirúrgico é diferente de abandono.,negativo,Cortes no Orçamento das Universidades Federais,FGV,liberal-econômico
O problema do Brasil não é pouca tributação de rico — é gasto público ineficiente. Começar por aí.,negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,MACKENZIE,conservador-técnico
O problema de saúde mental universitária tem raiz na precariedade do próprio sistema. Não resolve com palestra.,negativo,Saúde Mental no Ambiente Universitário,UFMG,progressista-regional
"véi, há exceções que já são legais. Legalização ampla é diferente e eu discordo.",negativo,Descriminalização vs. Legalização do Aborto,UFRJ,progressista-carioca
"Apoio o acesso, mas o modelo precisa garantir que o diploma tenha valor no mercado depois.",neutro,Expansão ou Corte do FIES e ProUni,INSPER,liberal-meritocrático
"Voto aos 16 sim, mas a discussão sobre obrigatório vs. facultativo é legítima e não tem resposta óbvia.",neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,UFBA,progressista-nordestino
Cidadão de bem desarmado é vítima fácil. Sou a favor do porte responsável.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,USP,progressista-técnico
"Se a pessoa tem 16 e quer votar, ótimo. Se não quer, forçar não faz sentido.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UNICAMP,técnico-crítico
"IGF faz sentido em tese, mas a implementação no Brasil seria complexa demais sem reforma do judiciário junto.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,MACKENZIE,conservador-técnico
"Proibir é impossível, mas liberar sem critério é colapsar a avaliação acadêmica.",negativo,Regulamentação do Uso de IA em Provas e TCCs,INSPER,liberal-meritocrático
"O debate precisa separar o aspecto jurídico, o de saúde pública e o ético. Estão misturados aqui.",neutro,Descriminalização vs. Legalização do Aborto,MACKENZIE,conservador-técnico
"sô, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
"literalmente, pesquisa científica exige processo cognitivo que IA não substitui. Sou contra o uso sem restrição.",negativo,Regulamentação do Uso de IA em Provas e TCCs,INSPER,liberal-meritocrático
"olha, transição energética é inevitável. Quanto mais tarde, mais caro pra todo mundo.",positivo,Transição Energética e Custo para a População,MACKENZIE,conservador-técnico
"no final do dia, o Brasil tem uma das tributações mais regressivas do mundo. Quem ganha menos paga mais. Isso precisa mudar.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,FGV,liberal-econômico
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,INSPER,liberal-meritocrático
"Oxe, cortaram bolsa de IC, verba de laboratório e agora querem cortar manutenção de campus. Até quando?",positivo,Cortes no Orçamento das Universidades Federais,UFMG,progressista-regional
"IGF faz sentido em tese, mas a implementação no Brasil seria complexa demais sem reforma do judiciário junto.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,UNICAMP,técnico-crítico
"Não é pauta de saúde pública, é pauta ideológica. Existem alternativas que precisam ser debatidas antes.",negativo,Descriminalização vs. Legalização do Aborto,USP,progressista-técnico
O problema de saúde mental universitária tem raiz na precariedade do próprio sistema. Não resolve com palestra.,negativo,Saúde Mental no Ambiente Universitário,UFRJ,progressista-carioca
Índice de ansiedade e depressão entre universitários é alarmante. Precisamos agir agora.,positivo,Saúde Mental no Ambiente Universitário,USP,progressista-técnico
"mano, plataforma que lucra com ódio precisa ser responsabilizada. Regulamentação é urgente.",positivo,Regulamentação das Redes Sociais e Discurso de Ódio,USP,progressista-técnico
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,PUC_SP,progressista-católico
"Mermão, o argumento de legítima defesa ignora que a maioria das mortes por arma é acidental ou impulsiva.",positivo,Desarmamento vs. Flexibilização do Porte de Armas,USP,progressista-técnico
"Apoio a meta, mas o prazo e o modelo de financiamento precisam de debate técnico sério.",neutro,Transição Energética e Custo para a População,PUC_SP,progressista-católico
"basicamente, criar um 'setor de bem-estar' sem mudar a cultura de pressão é enganação.",negativo,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
"A reforma simplificou o consumo, mas deixou a renda intocada. Avanço parcial.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,FGV,liberal-econômico
"literalmente, bandido não obedece lei de desarmamento. Só o cidadão honesto fica indefeso.",negativo,Desarmamento vs. Flexibilização do Porte de Armas,INSPER,liberal-meritocrático
Liberdade de expressão não é liberdade pra desumanizar. Apoio o PL das redes.,positivo,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
Voto obrigatório aos 16 amplia participação e inclui quem mais vai sofrer as consequências das políticas.,negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,INSPER,liberal-meritocrático
Voto obrigatório aos 16 amplia participação e inclui quem mais vai sofrer as consequências das políticas.,negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,FGV,liberal-econômico
"IVA dual simplifica, mas sem progressividade real continuamos com sistema injusto.",positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,UFMG,progressista-regional
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,INSPER,liberal-meritocrático
"faz sentido, finalmente a universidade tratando saúde mental como pauta institucional séria.",positivo,Saúde Mental no Ambiente Universitário,FGV,liberal-econômico
"Corte dói, mas o orçamento público é finito. Precisamos de priorização, não de carta branca.",negativo,Cortes no Orçamento das Universidades Federais,UFBA,progressista-nordestino
Sou contra. Vida começa na concepção e o Estado não pode legitimar seu fim.,negativo,Descriminalização vs. Legalização do Aborto,USP,progressista-técnico
"basicamente, reforma tributária bem feita simplifica e desoneração a produção. Não é criar novo imposto.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,MACKENZIE,conservador-técnico
"Oxe, até a Europa regulamentou. O Brasil tá atrasado nessa pauta.",positivo,Regulamentação das Redes Sociais e Discurso de Ódio,USP,progressista-técnico
Big tech não se autorregula. Precisamos de lei com dente e órgão regulador independente.,positivo,Regulamentação das Redes Sociais e Discurso de Ódio,UFRJ,progressista-carioca
Índice de ansiedade e depressão entre universitários é alarmante. Precisamos agir agora.,positivo,Saúde Mental no Ambiente Universitário,FGV,liberal-econômico
"O debate precisa separar posse em casa, porte em via pública e uso por CAC. São coisas diferentes.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,UFBA,progressista-nordestino
Transição energética não pode jogar a conta no consumidor de baixa renda. Isso é injustiça disfarçada de ecologia.,negativo,Transição Energética e Custo para a População,FGV,liberal-econômico
"O debate precisa separar o aspecto jurídico, o de saúde pública e o ético. Estão misturados aqui.",neutro,Descriminalização vs. Legalização do Aborto,UFBA,progressista-nordestino
"cara, pesquisa científica exige processo cognitivo que IA não substitui. Sou contra o uso sem restrição.",negativo,Regulamentação do Uso de IA em Provas e TCCs,UNICAMP,técnico-crítico
"véi, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFRJ,progressista-carioca
"véi, tem universidade federal com obra parada há 10 anos e orçamento gigante. O problema não é só dinheiro.",negativo,Cortes no Orçamento das Universidades Federais,USP,progressista-técnico
"Expansão sim, mas com critério de qualidade das instituições conveniadas. Nem toda privada serve.",neutro,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,FGV,liberal-econômico
Países que legalizaram viram queda no número de abortos e zero aumento. Os dados estão aí.,positivo,Descriminalização vs. Legalização do Aborto,FGV,liberal-econômico
FIES tem problema de inadimplência estrutural. Precisa de reforma antes de expansão.,neutro,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
"mano, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,USP,progressista-técnico
Apoio o desarmamento. Revogação dos decretos de Bolsonaro foi acerto.,positivo,Desarmamento vs. Flexibilização do Porte de Armas,INSPER,liberal-meritocrático
"Respeito quem defende, mas minha posição é contrária. Adoção precisa ser facilitada primeiro.",negativo,Descriminalização vs. Legalização do Aborto,PUC_SP,progressista-católico
"basicamente, criar um 'setor de bem-estar' sem mudar a cultura de pressão é enganação.",negativo,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
Cidadão de bem desarmado é vítima fácil. Sou a favor do porte responsável.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,UNICAMP,técnico-crítico
"oxe, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
"Oxe, cortar FIES em ano de desemprego alto é a pior decisão possível.",positivo,Expansão ou Corte do FIES e ProUni,USP,progressista-técnico
"olha, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,MACKENZIE,conservador-técnico
"Suporte psicológico é necessário, mas não suficiente. O debate precisa ir além do atendimento individual.",neutro,Saúde Mental no Ambiente Universitário,USP,progressista-técnico
"oxe, mais arma em circulação é mais risco pra todo mundo. Os dados de homicídio confirmam.",positivo,Desarmamento vs. Flexibilização do Porte de Armas,UFBA,progressista-nordestino
"eita, voto facultativo aos 16 respeita a autonomia de quem ainda não se sente pronto pra decidir.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UFBA,progressista-nordestino
Reforma que não toca na concentração de riqueza não é reforma — é maquiagem fiscal.,positivo,Reforma Tributária e Imposto sobre Grandes Fortunas,UFMG,progressista-regional
"no final do dia, criar um 'setor de bem-estar' sem mudar a cultura de pressão é enganação.",negativo,Saúde Mental no Ambiente Universitário,FGV,liberal-econômico
"literalmente, mais arma em circulação é mais risco pra todo mundo. Os dados de homicídio confirmam.",positivo,Desarmamento vs. Flexibilização do Porte de Armas,FGV,liberal-econômico
"IGF afasta investimento e capital. Na prática gera menos arrecadação, não mais.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,FGV,liberal-econômico
Usar IA no TCC com citação e reflexão crítica é diferente de copiar. Precisamos distinguir.,positivo,Regulamentação do Uso de IA em Provas e TCCs,UFBA,progressista-nordestino
Voto obrigatório aos 16 amplia participação e inclui quem mais vai sofrer as consequências das políticas.,negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,FGV,liberal-econômico
Nem proibir nem liberar sem critério. Precisamos de política clara e consistente entre os departamentos.,neutro,Regulamentação do Uso de IA em Provas e TCCs,USP,progressista-técnico
"ProUni funciona melhor que FIES, mas ambos precisam de avaliação séria de impacto antes de ampliar.",negativo,Expansão ou Corte do FIES e ProUni,UNB,político-crítico
"Sou a favor da transição, mas o ritmo proposto é irreal e vai comprometer abastecimento.",negativo,Transição Energética e Custo para a População,FGV,liberal-econômico
Nem proibir nem liberar sem critério. Precisamos de política clara e consistente entre os departamentos.,neutro,Regulamentação do Uso de IA em Provas e TCCs,UNB,político-crítico
"véi, há exceções que já são legais. Legalização ampla é diferente e eu discordo.",negativo,Descriminalização vs. Legalização do Aborto,USP,progressista-técnico
"Corte dói, mas o orçamento público é finito. Precisamos de priorização, não de carta branca.",negativo,Cortes no Orçamento das Universidades Federais,INSPER,liberal-meritocrático
Depende muito de como a educação cívica for implementada junto. Não dá pra separar.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,INSPER,liberal-meritocrático
"Não é pauta de saúde pública, é pauta ideológica. Existem alternativas que precisam ser debatidas antes.",negativo,Descriminalização vs. Legalização do Aborto,PUC_SP,progressista-católico
"Autonomia sobre o próprio corpo não é pauta política, é direito humano fundamental.",positivo,Descriminalização vs. Legalização do Aborto,UNICAMP,técnico-crítico
Cada real cortado da universidade é multiplicado em atraso de desenvolvimento. Contra os cortes.,positivo,Cortes no Orçamento das Universidades Federais,PUC_SP,progressista-católico
"Suporte psicológico é necessário, mas não suficiente. O debate precisa ir além do atendimento individual.",neutro,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
Financiar faculdade privada de baixa qualidade com dinheiro público não é inclusão — é desperdício.,negativo,Expansão ou Corte do FIES e ProUni,UNB,político-crítico
"Voto aos 16 sim, mas a discussão sobre obrigatório vs. facultativo é legítima e não tem resposta óbvia.",neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,MACKENZIE,conservador-técnico
"Sou a favor da transição, mas o ritmo proposto é irreal e vai comprometer abastecimento.",negativo,Transição Energética e Custo para a População,UNB,político-crítico
"Olha os dados do interior: onde o cidadão é armado, criminalidade específica cai.",negativo,Desarmamento vs. Flexibilização do Porte de Armas,FGV,liberal-econômico
"Oxe, cortar FIES em ano de desemprego alto é a pior decisão possível.",positivo,Expansão ou Corte do FIES e ProUni,UFRJ,progressista-carioca
Difícil equilibrar proteção contra ódio e liberdade de expressão. Não existe solução perfeita.,neutro,Regulamentação das Redes Sociais e Discurso de Ódio,INSPER,liberal-meritocrático
"Os dados internacionais apontam pra restrição, mas o contexto brasileiro tem especificidades.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,USP,progressista-técnico
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,UNICAMP,técnico-crítico
Apoio o desarmamento. Revogação dos decretos de Bolsonaro foi acerto.,positivo,Desarmamento vs. Flexibilização do Porte de Armas,UFBA,progressista-nordestino
"Apoio descriminalização em casos extremos, mas legalização ampla ainda gera dúvidas pra mim.",neutro,Descriminalização vs. Legalização do Aborto,UFRJ,progressista-carioca
"O debate precisa separar posse em casa, porte em via pública e uso por CAC. São coisas diferentes.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,USP,progressista-técnico
Transição energética não pode jogar a conta no consumidor de baixa renda. Isso é injustiça disfarçada de ecologia.,negativo,Transição Energética e Custo para a População,UNICAMP,técnico-crítico
"faz sentido, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,FGV,liberal-econômico
Cada real cortado da universidade é multiplicado em atraso de desenvolvimento. Contra os cortes.,positivo,Cortes no Orçamento das Universidades Federais,MACKENZIE,conservador-técnico
Cada disciplina tem uma relação diferente com IA. Não dá pra ter uma regra única pra tudo.,neutro,Regulamentação do Uso de IA em Provas e TCCs,INSPER,liberal-meritocrático
Preciso ver a proposta completa antes de opinar. Detalhes de alíquota e base de cálculo mudam tudo.,neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,PUC_SP,progressista-católico
Voto obrigatório aos 16 amplia participação e inclui quem mais vai sofrer as consequências das políticas.,negativo,Voto Obrigatório vs. Facultativo aos 16 Anos,INSPER,liberal-meritocrático
Restrição ao porte é paternalismo. Cada um deveria ter direito de se defender.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,PUC_SP,progressista-católico
"arretado, quem define o que é discurso de ódio? O governo? Isso é perigoso demais.",negativo,Regulamentação das Redes Sociais e Discurso de Ódio,UFBA,progressista-nordestino
"Autonomia sobre o próprio corpo não é pauta política, é direito humano fundamental.",positivo,Descriminalização vs. Legalização do Aborto,UFBA,progressista-nordestino
"Se a pessoa tem 16 e quer votar, ótimo. Se não quer, forçar não faz sentido.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UNICAMP,técnico-crítico
"Arma não protege, estatística mundial é clara. Restrição salva vidas.",positivo,Desarmamento vs. Flexibilização do Porte de Armas,UNB,político-crítico
É uma pauta que divide genuinamente por valores. Não consigo reduzir a certo ou errado.,neutro,Descriminalização vs. Legalização do Aborto,UFMG,progressista-regional
"Oxe, cortar FIES em ano de desemprego alto é a pior decisão possível.",positivo,Expansão ou Corte do FIES e ProUni,UFBA,progressista-nordestino
Cada disciplina tem uma relação diferente com IA. Não dá pra ter uma regra única pra tudo.,neutro,Regulamentação do Uso de IA em Provas e TCCs,FGV,liberal-econômico
Apoio a expansão. Cortar é fechar a universidade pra quem mais precisa dela.,positivo,Expansão ou Corte do FIES e ProUni,PUC_SP,progressista-católico
"Corte dói, mas o orçamento público é finito. Precisamos de priorização, não de carta branca.",negativo,Cortes no Orçamento das Universidades Federais,UFBA,progressista-nordestino
"literalmente, aborto ilegal não evita aborto — mata mulher pobre. Descriminalização é pauta de saúde pública.",positivo,Descriminalização vs. Legalização do Aborto,INSPER,liberal-meritocrático
"Sou contra IGF. Quem tem patrimônio já paga IPTU, ITCMD, dividendos. Mais imposto não é solução.",negativo,Reforma Tributária e Imposto sobre Grandes Fortunas,USP,progressista-técnico
Cada campus tem realidade diferente. Uma política nacional de saúde mental universitária precisa de flexibilidade.,neutro,Saúde Mental no Ambiente Universitário,USP,progressista-técnico
"O debate precisa separar posse em casa, porte em via pública e uso por CAC. São coisas diferentes.",neutro,Desarmamento vs. Flexibilização do Porte de Armas,FGV,liberal-econômico
"Apoio o acesso, mas o modelo precisa garantir que o diploma tenha valor no mercado depois.",neutro,Expansão ou Corte do FIES e ProUni,UFMG,progressista-regional
"Regulamentação sim, mas o modelo importa. PL atual tem problemas sérios que precisam ser corrigidos.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UFRJ,progressista-carioca
Prefiro debater educação política nas escolas antes de decidir sobre obrigatoriedade.,neutro,Voto Obrigatório vs. Facultativo aos 16 Anos,MACKENZIE,conservador-técnico
Voto obrigatório sem educação cívica séria é ritual vazio. Facultativo com consciência é melhor.,positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,PUC_SP,progressista-católico
"O debate precisa separar o aspecto jurídico, o de saúde pública e o ético. Estão misturados aqui.",neutro,Descriminalização vs. Legalização do Aborto,USP,progressista-técnico
Brasil tem potencial solar e eólico imenso. Não aproveitar é desperdiçar vantagem competitiva.,positivo,Transição Energética e Custo para a População,UNB,político-crítico
"O custo da transição precisa ser distribuído de forma progressiva. Não é simples, mas é necessário.",neutro,Transição Energética e Custo para a População,UFBA,progressista-nordestino
Difícil tomar partido sem ver o orçamento detalhado. Onde exatamente está sendo cortado?,neutro,Cortes no Orçamento das Universidades Federais,MACKENZIE,conservador-técnico
"Apoio o acesso, mas o modelo precisa garantir que o diploma tenha valor no mercado depois.",neutro,Expansão ou Corte do FIES e ProUni,MACKENZIE,conservador-técnico
"A reforma simplificou o consumo, mas deixou a renda intocada. Avanço parcial.",neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,MACKENZIE,conservador-técnico
